aX,aY,aZ,gX,gY,gZ
-0.090,-0.006,0.976,1.038,1.953,1.160
-0.088,-0.003,0.975,1.038,1.099,1.221
-0.091,-0.004,0.969,1.526,0.549,1.526
-0.094,-0.004,0.964,1.343,0.610,1.831
-0.103,-0.010,0.916,-2.258,1.587,1.709
-0.093,-0.007,0.962,3.418,3.845,1.587
-0.088,-0.017,0.980,3.784,3.357,1.465
-0.098,-0.001,0.982,-0.244,1.892,2.014
-0.099,-0.008,0.970,2.441,1.587,2.136
-0.092,-0.015,0.966,0.061,2.197,2.258
-0.082,-0.016,0.971,1.343,1.648,2.014
-0.086,-0.018,0.965,1.404,1.770,0.854
-0.092,-0.014,0.969,0.549,1.465,0.488
-0.099,-0.003,0.967,1.160,1.831,0.427
-0.095,-0.001,0.973,0.732,2.014,0.977
-0.092,-0.004,0.974,1.221,1.587,1.282
-0.087,-0.011,0.971,0.977,1.221,1.648
-0.140,-0.047,0.960,0.610,1.099,1.404
-0.085,0.003,0.960,0.732,1.648,1.160
-0.037,0.030,0.968,0.793,1.953,0.977
-0.086,-0.003,0.970,0.732,2.014,1.038
-0.091,0.001,0.971,0.977,2.075,1.648
-0.089,-0.008,0.969,0.732,2.197,2.258
-0.090,-0.010,0.974,0.549,2.136,2.380
-0.140,-0.034,0.965,0.977,1.526,2.380
-0.055,0.012,0.963,0.854,1.160,1.587
-0.051,0.019,0.967,1.038,2.014,0.854
-0.117,-0.031,0.970,0.549,2.258,1.892
-0.151,-0.046,0.955,1.099,1.953,0.916
-0.092,-0.007,0.974,0.732,2.563,1.160
-0.086,-0.008,0.975,0.977,1.953,0.671
-0.050,0.021,0.971,0.916,1.282,0.366
-0.081,-0.005,0.968,1.038,0.793,0.977
-0.146,-0.047,0.958,1.343,1.648,0.854
-0.139,-0.044,0.960,1.099,1.892,1.038
-0.125,-0.024,0.963,1.099,2.075,1.343
-0.080,0.004,0.975,0.732,2.197,1.343
-0.090,-0.000,0.973,0.916,2.136,1.038
-0.124,-0.003,0.965,0.793,1.831,1.587
-0.110,-0.034,0.967,1.038,1.953,1.892
-0.147,-0.043,0.964,0.610,1.892,2.075
-0.088,0.012,0.967,0.488,1.770,2.075
-0.038,0.033,0.973,0.549,2.197,1.770
-0.083,-0.014,0.972,0.488,1.770,1.892
-0.094,-0.011,0.968,0.671,1.160,1.709
-0.093,-0.009,0.964,0.610,1.038,1.343
-0.116,-0.023,0.961,0.916,1.038,1.160
-0.043,0.029,0.971,0.122,1.221,0.732
-0.046,0.015,0.966,0.549,0.916,0.305
-0.046,0.028,0.965,0.488,1.465,-0.122
-0.121,-0.020,0.962,0.610,1.648,0.366
-0.109,0.004,0.957,0.610,1.953,1.099
-0.096,0.005,0.966,0.427,2.686,1.892
-0.092,-0.004,0.970,0.916,2.441,1.892
-0.038,0.035,0.977,1.038,2.563,2.502
-0.078,-0.013,0.963,1.038,1.343,2.136
-0.150,-0.047,0.958,0.671,1.587,1.343
-0.118,-0.007,0.965,0.854,2.380,1.648
-0.040,0.036,0.975,0.305,2.380,1.831
-0.095,0.002,0.971,1.282,1.587,1.648
-0.096,-0.001,0.962,1.343,1.526,2.380
-0.121,-0.031,0.968,0.916,1.709,2.014
-0.137,-0.035,0.962,1.892,1.953,2.258
-0.142,-0.039,0.964,0.854,2.014,2.014
-0.083,0.017,0.969,1.465,2.319,1.587
-0.036,0.035,0.977,0.977,2.502,1.343
-0.098,-0.002,0.970,1.099,2.136,1.343
-0.089,-0.002,0.971,1.221,1.648,1.831
-0.103,-0.004,0.965,1.282,1.709,2.014
-0.124,-0.010,0.965,0.916,1.892,2.869
-0.047,0.031,0.970,1.038,1.892,2.869
-0.045,0.007,0.969,0.854,2.075,2.441
-0.122,-0.042,0.966,1.160,1.587,1.709
-0.100,-0.019,0.958,1.099,1.770,1.587
-0.096,-0.006,0.964,0.732,2.136,1.404
-0.093,-0.004,0.966,1.038,1.953,1.404
-0.037,0.028,0.971,0.671,1.953,1.587
-0.039,0.036,0.971,1.160,1.648,1.343
-0.081,-0.012,0.966,0.916,1.831,1.587
-0.140,-0.044,0.969,0.366,1.526,1.709
-0.115,-0.008,0.966,1.587,1.526,1.770
-0.096,-0.003,0.965,0.427,1.648,1.343
-0.091,-0.005,0.966,1.160,1.587,0.854
-0.085,0.002,0.967,1.404,2.380,1.160
-0.042,0.025,0.971,0.977,1.709,2.197
-0.114,-0.030,0.959,1.465,2.014,1.465
-0.144,-0.035,0.964,0.854,2.563,1.770
-0.079,0.016,0.974,0.671,2.319,1.953
-0.086,-0.002,0.978,1.404,1.709,1.770
-0.089,-0.004,0.969,1.526,1.221,1.587
-0.095,-0.002,0.961,1.404,1.343,0.977

-0.138,-0.040,0.961,1.892,2.197,1.465
-0.135,-0.045,0.968,1.038,2.014,1.892
-0.124,-0.016,0.969,1.099,2.136,1.648
-0.049,0.036,0.975,1.160,2.014,1.526
-0.087,0.009,0.972,0.854,1.526,1.587
-0.086,-0.001,0.968,1.160,1.648,1.892
-0.090,-0.001,0.966,0.671,1.465,1.587
-0.102,-0.021,0.960,0.854,2.014,1.587
-0.150,-0.039,0.965,0.061,2.502,2.014
-0.094,0.004,0.972,0.671,2.319,2.197
-0.036,0.036,0.976,0.793,1.953,1.831
-0.072,-0.004,0.972,0.916,1.709,1.404
-0.094,-0.002,0.958,0.916,1.709,1.282
-0.092,-0.001,0.965,0.854,1.953,1.465
-0.126,-0.018,0.967,1.160,2.258,1.099
-0.054,0.026,0.971,0.854,1.953,1.648
